,lexicon,neighborhood_size,num_homophones,num_phones,num_sylls_est,prob,surprisal,word,mode
0,1,2,2,5,2,-4.687781882130182,4.687781882130182,Inv3s,anti_homophones
1,1,0,0,7,3,-7.702495164490075,7.702495164490075,kwIrQtI,anti_homophones
2,1,0,0,11,3,-8.254688271769739,8.254688271769739,fl$strVktIv,anti_homophones
3,1,0,0,10,3,-9.388183519063693,9.388183519063693,6tdIst@kPz,anti_homophones
4,1,0,0,7,3,-5.015620311618813,5.015620311618813,@kw8r7m,anti_homophones
5,1,0,0,13,5,-6.578751338474948,6.578751338474948,k@nkVrI_IdnIs,anti_homophones
6,1,3,1,8,3,-4.581131764370002,4.581131764370002,v{ljU1SH,anti_homophones
7,1,0,0,11,5,-7.097574602962072,7.097574602962072,r5m{gn{s@tI,anti_homophones
8,1,0,0,7,3,-5.1464515691604005,5.1464515691604005,IrIt1SH,anti_homophones
9,1,1,0,10,3,-5.832081015388834,5.832081015388834,krIspQnd@R,anti_homophones
10,1,0,0,10,4,-8.64236253682553,8.64236253682553,m5ltISn@rI,anti_homophones
11,1,4,0,5,2,-4.67059792545704,4.67059792545704,dIb1t,anti_homophones
12,1,0,0,12,4,-9.494794316539597,9.494794316539597,f@l$ndrIlj#d,anti_homophones
13,1,1,0,5,2,-6.42769075551424,6.42769075551424,s1Sju,anti_homophones
14,1,1,4,5,2,-4.579923048909893,4.579923048909893,g2llI,anti_homophones
15,1,5,1,6,2,-4.410924636909895,4.410924636909895,m{stIk,anti_homophones
16,1,0,0,8,3,-5.6913070951463745,5.6913070951463745,Inv3t@ns,anti_homophones
17,1,0,0,12,5,-9.623884213570502,9.623884213570502,tImp@l2t@rIs,anti_homophones
18,1,0,0,5,2,-7.0697319875937525,7.0697319875937525,kupQN,anti_homophones
19,1,0,0,11,4,-9.079912776792524,9.079912776792524,r{tPbr@v9r@,anti_homophones
20,1,0,0,7,2,-6.39550630636119,6.39550630636119,b5lthUk,anti_homophones
21,1,0,0,6,3,-5.783386389595355,5.783386389595355,v3bin5,anti_homophones
22,1,10,0,4,1,-4.829411028633089,4.829411028633089,_Ilt,anti_homophones
23,1,1,0,5,2,-5.83783712538308,5.83783712538308,@nlEt,anti_homophones
24,1,26,1,3,1,-4.5704556866046495,4.5704556866046495,din,anti_homophones
25,1,0,0,10,4,-5.977387007400534,5.977387007400534,JIkInh#tId,anti_homophones
26,1,0,0,7,2,-6.747250720362991,6.747250720362991,rI_INgP,anti_homophones
27,1,0,0,10,5,-6.9931171300495345,6.9931171300495345,g5l2@TEtIk,anti_homophones
28,1,0,0,17,7,-16.17071554370161,16.17071554370161,2s$Rnz@n7nsId@r@R,anti_homophones
29,1,0,0,10,4,-7.145014150126803,7.145014150126803,@dvEnJ@n@R,anti_homophones
30,1,0,0,14,6,-9.789900412799645,9.789900412799645,VnInhIbItr1n@R,anti_homophones
31,1,0,1,7,2,-4.782046238849685,4.782046238849685,krIsm@s,anti_homophones
32,1,2,0,8,2,-7.178223010911584,7.178223010911584,swINklIN,anti_homophones
33,1,6,5,6,2,-3.758099272669783,3.758099272669783,m#st@R,anti_homophones
34,1,3,0,7,3,-6.347549576658099,6.347549576658099,lQkINlI,anti_homophones
35,1,0,0,12,5,-8.19716860686629,8.19716860686629,grEn@l1SH@lI,anti_homophones
36,1,5,0,4,2,-5.346865349312774,5.346865349312774,Imun,anti_homophones
