Word,Count,Count_per_million,Log_freq,
a,965735,23214.78365,5.984858421,
aar—n,1040,25,3.01745073,
‡baco,9,0.216346154,1,
abad,48,1.153846154,1.69019608,
abadesa,12,0.288461538,1.113943352,
abad’a,95,2.283653846,1.982271233,
abajo,8727,209.7836538,3.940914738,
abalancŽ,4,0.096153846,0.698970004,
abalances,2,0.048076923,0.477121255,
abalanza,8,0.192307692,0.954242509,
abalanzaba,2,0.048076923,0.477121255,
abalanzamos,2,0.048076923,0.477121255,
abalanzan,2,0.048076923,0.477121255,
abalanz‡ndose,2,0.048076923,0.477121255,
abalanzar‡n,2,0.048076923,0.477121255,
abalanzarnos,2,0.048076923,0.477121255,
abalanzaron,5,0.120192308,0.77815125,
abalanzarse,4,0.096153846,0.698970004,
abalanzarte,2,0.048076923,0.477121255,
abalanzas,4,0.096153846,0.698970004,
abalanzaste,2,0.048076923,0.477121255,
abalanzo,3,0.072115385,0.602059991,
abalanz—,22,0.528846154,1.361727836,
abanderada,3,0.072115385,0.602059991,
abandona,263,6.322115385,2.421603927,
abandonaba,15,0.360576923,1.204119983,
abandonaban,4,0.096153846,0.698970004,
abandonabas,2,0.048076923,0.477121255,
abandonad,3,0.072115385,0.602059991,
abandonada,208,5,2.320146286,
abandonadas,37,0.889423077,1.579783597,
abandonado,744,17.88461538,2.872156273,
abandonados,112,2.692307692,2.053078443,
aband—nalo,2,0.048076923,0.477121255,
aband—name,5,0.120192308,0.77815125,
abandonamos,72,1.730769231,1.86332286,
abandonan,84,2.019230769,1.929418926,
abandonando,84,2.019230769,1.929418926,
abandon‡ndolo,6,0.144230769,0.84509804,
abandon‡ndonos,2,0.048076923,0.477121255,
abandon‡ndote,2,0.048076923,0.477121255,
abandonar,971,23.34134615,2.987666265,
abandonara,60,1.442307692,1.785329835,
abandonar‡,57,1.370192308,1.763427994,
abandon‡ramos,4,0.096153846,0.698970004,
abandonaran,10,0.240384615,1.041392685,
abandonar‡n,9,0.216346154,1,
abandonaras,23,0.552884615,1.380211242,
abandonar‡s,42,1.009615385,1.633468456,
abandonarŽ,98,2.355769231,1.995635195,
abandonaremos,34,0.817307692,1.544068044,
abandonar’a,50,1.201923077,1.707570176,
abandonar’amos,4,0.096153846,0.698970004,
abandonar’an,8,0.192307692,0.954242509,
abandonar’as,26,0.625,1.431363764,
abandonarla,52,1.25,1.72427587,
abandonarlas,5,0.120192308,0.77815125,
abandonarle,6,0.144230769,0.84509804,
abandonarlo,93,2.235576923,1.973127854,
abandonarlos,36,0.865384615,1.568201724,
abandonarme,87,2.091346154,1.944482672,
abandonarnos,22,0.528846154,1.361727836,
abandonaron,188,4.519230769,2.276461804,
abandonaros,2,0.048076923,0.477121255,
abandonarse,2,0.048076923,0.477121255,
abandonarte,52,1.25,1.72427587,
abandonas,95,2.283653846,1.982271233,
abandonaste,204,4.903846154,2.311753861,
aband—nate,2,0.048076923,0.477121255,
abandone,161,3.870192308,2.209515015,
abandonŽ,214,5.144230769,2.33243846,
abandonemos,29,0.697115385,1.477121255,
abandonen,125,3.004807692,2.100370545,
