Indx	Word	UnTrn	StTrn	NSyll	NPhon	unsDENS	unsFDEN	unsLDEN	unsCDEN	strDENS	strFDEN	strLDEN	strCDEN	unsBPAV	unsFBPAV	unsLBPAV	unsCBPAV	strBPAV	strFBPAV	strLBPAV	strCBPAV	unsTPAV	unsFTPAV	unsLTPAV	unsCTPAV	strTPAV	strFTPAV	strLTPAV	strCTPAV	unsPOSPAV	unsFPOSPAV	unsLPOSPAV	unsCPOSPAV	strPOSPAV	strFPOSPAV	strLPOSPAV	strCPOSPAV	unsLCPOSPAV	unsFLCPOSPAV	unsLLCPOSPAV	unsCLCPOSPAV	strLCPOSPAV	strFLCPOSPAV	strLLCPOSPAV	strCLCPOSPAV			
1	ahTHaorahtehriyahlihzahm (w:authoritarianism)	AH.TH.AO.R.AH.T.EH.R.IY.AH.L.IH.Z.AH.M	AH0.TH.AO2.R.AH0.T.EH1.R.IY0.AH0.L.IH2.Z.AH0.M	8	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00594673	0.00545793	0.00574605	0.00530523	0.00408995	0.00250684	0.00382914	0.00321716	0.00038182	0.00015237	0.00031523	0.00024250	0.00022037	0.00009908	0.00018201	0.00015164	0.06173383	0.05999931	0.06077602	0.05920432	0.05551317	0.05556177	0.05538691	0.05465853	0.10358975	0.06576086	0.06924843	0.06621626	0.09025641	0.05619413	0.05812938	0.05656254			
2	ahTHaorahtehriyahnihlahm (w:authoritarianism)	AH.TH.AO.R.AH.T.EH.R.IY.AH.N.IH.L.AH.M	AH0.TH.AO2.R.AH0.T.EH1.R.IY0.AH0.N.IH2.L.AH0.M	8	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00674029	0.00651046	0.00675798	0.00640424	0.00490466	0.00333714	0.00470159	0.00391567	0.00036925	0.00016900	0.00033174	0.00026795	0.00021074	0.00011096	0.00019356	0.00016802	0.06296364	0.06036619	0.06454695	0.05978718	0.05674299	0.05592865	0.05915784	0.05524139	0.10358974	0.05676086	0.07017150	0.05593983	0.09025641	0.04719413	0.05905246	0.04628612			
3	ahTHaorahtehriyahnihnahm (w:authoritarianism)	AH.TH.AO.R.AH.T.EH.R.IY.AH.N.IH.N.AH.M	AH0.TH.AO2.R.AH0.T.EH1.R.IY0.AH0.N.IH2.N.AH0.M	8	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00816733	0.00785991	0.00807485	0.00790110	0.00501798	0.00349499	0.00479758	0.00405791	0.00041168	0.00021981	0.00037459	0.00034082	0.00020761	0.00010629	0.00019320	0.00016351	0.06377997	0.07370888	0.06638510	0.07010225	0.05755931	0.06927134	0.06099599	0.06555646	0.10564103	0.05728864	0.07099202	0.05646016	0.09230769	0.04772191	0.05987297	0.04680644			
4	ahTHaorahtehriyahnihvahm (w:authoritarianism)	AH.TH.AO.R.AH.T.EH.R.IY.AH.N.IH.V.AH.M	AH0.TH.AO2.R.AH0.T.EH1.R.IY0.AH0.N.IH2.V.AH0.M	8	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00634185	0.00620508	0.00634854	0.00605900	0.00459447	0.00328582	0.00446036	0.00379631	0.00033089	0.00015279	0.00029606	0.00024245	0.00018930	0.00010073	0.00017702	0.00015245	0.05715865	0.05585740	0.05775923	0.05468847	0.05093800	0.05141986	0.05237013	0.05014268	36821452.90153847	0.05534419	0.06812022	0.05431382	36821461.42153847	0.04577746	0.05700118	0.04466010			
5	ahTHaorahtehriyahnihzahz (w:authoritarianism)	AH.TH.AO.R.AH.T.EH.R.IY.AH.N.IH.Z.AH.Z	AH0.TH.AO2.R.AH0.T.EH1.R.IY0.AH0.N.IH2.Z.AH0.Z	8	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00613941	0.00613407	0.00616997	0.00585052	0.00439644	0.00319315	0.00429881	0.00368123	0.00036454	0.00015863	0.00031681	0.00025451	0.00022173	0.00010351	0.00019342	0.00015968	0.06831512	0.07795719	0.07395555	0.07780924	0.06209446	0.07351966	0.06856644	0.07326345	0.10974359	0.07771287	0.08221716	0.07776155	0.09641026	0.06814614	0.07109812	0.06810783			
6	ahTHaorahtehriyahnihziym (w:authoritarianism)	AH.TH.AO.R.AH.T.EH.R.IY.AH.N.IH.Z.IY.M	AH0.TH.AO2.R.AH0.T.EH1.R.IY0.AH0.N.IH2.Z.IY0.M	8	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00595205	0.00587053	0.00599385	0.00571050	0.00415988	0.00293159	0.00406324	0.00349252	0.00032735	0.00015218	0.00029228	0.00024008	0.00019418	0.00010084	0.00017846	0.00015270	0.06200574	0.07833949	0.07047837	0.07817787	0.05578508	0.07390195	0.06508926	0.07363207	0.08102564	0.05905521	0.05901967	0.06017262	0.06769231	0.04948848	0.04790062	0.05051890			
7	ahTHaorahtehriyahniyzahm (w:authoritarianism)	AH.TH.AO.R.AH.T.EH.R.IY.AH.N.IY.Z.AH.M	AH0.TH.AO2.R.AH0.T.EH1.R.IY0.AH0.N.IY0.Z.AH0.M	8	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00618176	0.00636829	0.00628026	0.00610104	0.00485919	0.00349458	0.00472283	0.00407094	0.00032919	0.00018254	0.00030918	0.00026411	0.00022485	0.00010830	0.00020211	0.00016661	0.06626090	0.06434193	0.06604581	0.06354437	0.06412419	0.06230890	0.06406754	0.06157420	36821452.89435899	0.05309419	0.06483817	0.05197235	36821461.42153847	0.04577746	0.05700118	0.04466010			
8	ahTHaorahtehriyahnoyzahm (w:authoritarianism)	AH.TH.AO.R.AH.T.EH.R.IY.AH.N.OY.Z.AH.M	AH0.TH.AO2.R.AH0.T.EH1.R.IY0.AH0.N.OY2.Z.AH0.M	8	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00583254	0.00598466	0.00590608	0.00566640	0.00457854	0.00328102	0.00444401	0.00378726	0.00029946	0.00014083	0.00027308	0.00021781	0.00021155	0.00010215	0.00018660	0.00015600	0.05900055	0.05700734	0.05943448	0.05582567	0.05693947	0.05500390	0.05751122	0.05389153	36821452.89435899	0.05309419	0.06483817	0.05197235	36821461.42153847	0.04577746	0.05700118	0.04466010			
9	ahTHaorahtehriyahshihzahm (w:authoritarianism)	AH.TH.AO.R.AH.T.EH.R.IY.AH.SH.IH.Z.AH.M	AH0.TH.AO2.R.AH0.T.EH1.R.IY0.AH0.SH.IH2.Z.AH0.M	8	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00429419	0.00474338	0.00434970	0.00415745	0.00283764	0.00198684	0.00274477	0.00233371	0.00029174	0.00014057	0.00026730	0.00021903	0.00018767	0.00009626	0.00016636	0.00014527	0.05702154	0.05283281	0.05492195	0.05165036	0.05080088	0.04839527	0.04953284	0.04710457	0.10051282	0.04748308	0.06032535	0.04715935	0.08717949	0.03791635	0.04920631	0.03750563			
10	ahTHaorahtehriyahtihzahm (w:authoritarianism)	AH.TH.AO.R.AH.T.EH.R.IY.AH.T.IH.Z.AH.M	AH0.TH.AO2.R.AH0.T.EH1.R.IY0.AH0.T.IH2.Z.AH0.M	8	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00552057	0.00661650	0.00545774	0.00511131	0.00333986	0.00251671	0.00322315	0.00269490	0.00033560	0.00015359	0.00030219	0.00024765	0.00020029	0.00010057	0.00017662	0.00015493	0.06263498	0.05725821	0.06084935	0.05641226	0.05641432	0.05282068	0.05546024	0.05186647	0.10769231	0.05692753	0.07047919	0.05496422	0.09435898	0.04736080	0.05936015	0.04531051			
