,Word,CompCnt,PhonDISC,SylCnt,num_phones,num_sylls_est,log_prob,surprisal
37,abbiegen,2,&pbig@n,3,7,3,-5.366555035611671,5.366555035611671
38,abbilden,2,&pbIld@n,3,8,3,-5.613388514637473,5.613388514637473
39,Abbild,1,&pbIlt,2,6,2,-4.959791079828285,4.959791079828285
40,Abbildung,2,&pbIldUN,3,8,3,-4.912965908403978,4.912965908403978
41,abbimsen,2,&pbImz@n,3,8,3,-5.149185379397662,5.149185379397662
42,abbinden,2,&pbInd@n,3,8,3,-5.66211186916453,5.66211186916453
43,abbitten,2,&pbIt@n,3,7,3,-5.2310296716828155,5.2310296716828155
44,Abbitte,2,&pbIt@,3,6,3,-5.469362923658501,5.469362923658501
45,abblasen,2,&pblaz@n,3,8,3,-5.647659290920488,5.647659290920488
46,abblassen,2,&pbl&s@n,3,8,3,-5.940605006006761,5.940605006006761
47,abblaettern,2,&pblEt@rn,3,9,3,-6.027786680887504,6.027786680887504
48,abblenden,2,&pblEnd@n,3,9,3,-5.64599973345888,5.64599973345888
49,Abblendlicht,2,&pblEntlIxt,3,11,3,-9.014626057820752,9.014626057820752
50,abblitzen,2,&pblI=@n,3,8,3,-5.722201357928956,5.722201357928956
51,abblocken,2,&pblOk@n,3,8,3,-6.6446518543432775,6.6446518543432775
52,Abbrand,2,&pbr&nt,2,7,2,-5.342904811312898,5.342904811312898
53,Abbraendler,2,&pbrEntl@r,3,10,3,-8.90138769866921,8.90138769866921
54,abbrechen,2,&pbrEx@n,3,8,3,-5.250697609251837,5.250697609251837
55,abbremsen,2,&pbrEmz@n,3,9,3,-5.592180889386054,5.592180889386054
56,abbrennen,2,&pbrEn@n,3,8,3,-4.87692004820007,4.87692004820007
57,Abbreviation,2,&brevi&=ion,6,11,6,-6.001067609383961,6.001067609383961
58,Abbreviatur,2,&brevi&tur,5,10,5,-6.588562128692962,6.588562128692962
59,abbreviieren,2,&breviir@n,5,10,5,-6.190373149092757,6.190373149092757
60,abbringen,2,&pbrIN@n,3,8,3,-5.156018542205355,5.156018542205355
61,abbroeckeln,2,&pbr/k@ln,3,9,3,-5.060907974636336,5.060907974636336
62,Abbroeckelung,2,&pbr/k@lUN,4,10,4,-5.690921791777102,5.690921791777102
63,Abbruch,1,&pbrUx,2,6,2,-4.4232951635058555,4.4232951635058555
64,Abbrucharbeit,2,&pbrUx&rbWt,4,11,4,-7.041839894359944,7.041839894359944
65,abbruchreif,2,&pbrUxrWf,3,9,3,-6.165515590473962,6.165515590473962
66,abbruehen,2,&pbry@n,3,7,3,-5.434449711783311,5.434449711783311
67,abbuchen,2,&pbux@n,3,7,3,-5.507910089119688,5.507910089119688
68,abbuersten,2,&pbYrst@n,3,9,3,-5.940403452226611,5.940403452226611
69,abchangieren,2,&pSqZir@n,4,9,4,-5.4521679500549745,5.4521679500549745
70,abchecken,2,&pJEk@n,3,7,3,-5.570798119818432,5.570798119818432
71,abdachen,2,&pd&x@n,3,7,3,-5.372313119409374,5.372313119409374
72,Abdachung,2,&pd&xUN,3,7,3,-5.3545790828672954,5.3545790828672954
73,abdampfen,2,&pd&m+@n,3,8,3,-4.9245129413059905,4.9245129413059905
74,abdaempfen,2,&pdEm+@n,3,8,3,-5.717874312859759,5.717874312859759
75,Abdampf,1,&pd&m+,2,6,2,-4.942724247447575,4.942724247447575
76,Abdampfwaerme,2,&pd&m+vErm@,4,11,4,-7.206591560375006,7.206591560375006
77,abdanken,2,&pd&Nk@n,3,8,3,-5.17806362854722,5.17806362854722
78,Abdankung,2,&pd&NkUN,3,8,3,-6.120980075857611,6.120980075857611
79,abdecken,2,&pdEk@n,3,7,3,-5.003350119292783,5.003350119292783
80,Abdecker,2,&pdEk@r,3,7,3,-5.364841617754079,5.364841617754079
81,Abdeckerei,2,&pdEk@rW,4,8,4,-5.955349283361129,5.955349283361129
82,Abdeckung,2,&pdEkUN,3,7,3,-5.0528225282849855,5.0528225282849855
83,Abderit,1,&pderit,3,7,3,-5.902779437326448,5.902779437326448
84,abderitisch,2,&pderitIS,4,9,4,-6.284430959698619,6.284430959698619
85,abdichten,2,&pdIxt@n,3,8,3,-5.844268266661828,5.844268266661828
86,Abdichtung,2,&pdIxtUN,3,8,3,-5.633074156022294,5.633074156022294
87,Abdikation,2,&pdik&=ion,5,10,5,-5.722406724282038,5.722406724282038
88,abdingen,2,&pdIN@n,3,7,3,-5.38545755146512,5.38545755146512
89,abdingbar,2,&pdINbar,3,8,3,-4.777599154248071,4.777599154248071
90,Abdomen,0,&pdom@n,3,7,3,-5.342236709301746,5.342236709301746
91,abdominal,2,&pdominal,4,9,4,-6.271073120801068,6.271073120801068
92,abdorren,2,&pdOr@n,3,7,3,-5.476161191536051,5.476161191536051
93,abdraengen,2,&pdrEN@n,3,8,3,-5.500253850156529,5.500253850156529
94,abdrehen,2,&pdre@n,3,7,3,-5.3133031745638535,5.3133031745638535
95,abdreschen,2,&pdrES@n,3,8,3,-5.551376355043704,5.551376355043704
96,Abdrift,2,&pdrIft,2,7,2,-5.492208476953702,5.492208476953702
97,abdrosseln,2,&pdrOs@ln,3,9,3,-6.096339717750215,6.096339717750215
98,abdruecken,2,&pdrYk@n,3,8,3,-5.750909221744718,5.750909221744718
99,abdrucken,2,&pdrUk@n,3,8,3,-5.084951537028407,5.084951537028407
100,Abdruck,1,&pdrUk,2,6,2,-4.295022007140998,4.295022007140998
101,abducken,2,&pdUk@n,3,7,3,-5.088983465600899,5.088983465600899
102,Abduktion,2,&pdUk=ion,4,9,4,-4.846355378382972,4.846355378382972
103,Abduktor,2,&pdUktOr,3,8,3,-5.873127185043044,5.873127185043044
104,abduzieren,2,&pdu=ir@n,4,9,4,-5.138821014019833,5.138821014019833
105,abebben,2,&pEb@n,3,6,3,-5.202671733521267,5.202671733521267
106,abeisen,2,&pWz@n,3,6,3,-5.765132008099722,5.765132008099722
107,Abend,1,ab@nt,2,5,2,-3.917226668251736,3.917226668251736
108,Abendanzug,2,ab@nt&n=uk,4,10,4,-8.591858770361991,8.591858770361991
109,Abendbrot,2,ab@ntbrot,3,9,3,-7.278316576794908,7.278316576794908
110,Abenddaemmerung,2,ab@ntdEm@rUN,5,12,5,-8.043305399242037,8.043305399242037
111,abendelang,3,ab@nd@l&N,4,9,4,-10.038767853100492,10.038767853100492
112,Abendessen,2,ab@ntEs@n,4,9,4,-7.7074883882325596,7.7074883882325596
113,abendfuellend,2,ab@ntfYl@nt,4,11,4,-8.547687414827193,8.547687414827193
114,Abendgymnasium,2,ab@ntgYmnaziUm,6,14,6,-8.128320837976814,8.128320837976814
115,Abendkleid,2,ab@ntklWt,3,9,3,-6.511621040948403,6.511621040948403
116,Abendkurs,2,ab@ntkUrs,3,9,3,-6.375474709862068,6.375474709862068
117,Abendkursus,2,ab@ntkUrzUs,4,11,4,-6.921816279822545,6.921816279822545
118,Abendland,2,ab@ntl&nt,3,9,3,-7.9111670208529645,7.9111670208529645
119,Abendlaender,2,ab@ntlEnd@r,4,11,4,-7.547650728541901,7.547650728541901
120,abendlaendisch,2,ab@ntlEndIS,4,11,4,-8.057974517520751,8.057974517520751
121,abendlich,2,ab@ntlIx,3,8,3,-5.126558062444491,5.126558062444491
122,Abendmahl,2,ab@ntmal,3,8,3,-6.490482891416257,6.490482891416257
123,Abendprogramm,2,ab@ntprogr&m,4,12,4,-7.610317451922966,7.610317451922966
124,Abendrot,2,ab@ntrot,3,8,3,-7.753827314649178,7.753827314649178
125,Abendroete,2,ab@ntr|t@,4,9,4,-7.6225242452486635,7.6225242452486635
126,abends,1,ab@n=,2,5,2,-5.225990222743526,5.225990222743526
127,abenteuern,1,ab@ntX@rn,4,9,4,-5.655400720849736,5.655400720849736
128,Abenteuer,1,ab@ntX@r,4,8,4,-5.442929153677115,5.442929153677115
129,Abenteuerin,2,ab@ntX@rIn,5,10,5,-7.113849186319747,7.113849186319747
130,abenteuerlich,2,ab@ntX@rlIx,5,11,5,-6.876335586844429,6.876335586844429
131,Abenteuerlust,2,ab@ntX@rlUst,5,12,5,-8.226049049316995,8.226049049316995
132,Abenteurer,2,ab@ntXr@r,4,9,4,-6.162977202401951,6.162977202401951
133,Abenteurerin,2,ab@ntXr@rIn,5,11,5,-6.471859534823527,6.471859534823527
134,aber,1,ab@r,2,4,2,-4.137711324642936,4.137711324642936
135,aber,1,ab@r,2,4,2,-4.137711324642936,4.137711324642936
136,Aberglaube,2,ab@rglBb@,4,9,4,-7.1442653843436625,7.1442653843436625
137,Aberglauben,2,ab@rglBb@n,4,10,4,-7.115402056509462,7.115402056509462
138,aberglaeubig,2,ab@rglXbIx,4,10,4,-6.747963364436976,6.747963364436976
139,aberglaeubisch,2,ab@rglXbIS,4,10,4,-8.013077048353766,8.013077048353766
140,aberhundert,2,ab@rhUnd@rt,4,11,4,-9.099685454683351,9.099685454683351
141,aberkennen,2,&pErkEn@n,4,9,4,-5.761384537272041,5.761384537272041
142,Aberkennung,2,&pErkEnUN,4,9,4,-5.736725556725245,5.736725556725245
143,abermalig,3,ab@rmalIx,4,9,4,-7.365612767586631,7.365612767586631
144,abermals,3,ab@rmals,3,8,3,-7.468074842874178,7.468074842874178
145,Aberration,0,&pEr&=ion,5,9,5,-5.549212426462664,5.549212426462664
146,abertausend,2,ab@rtBz@nt,4,10,4,-8.161775732823548,8.161775732823548
147,Aberwitz,2,ab@rvI=,3,7,3,-6.932218998935528,6.932218998935528
148,aberwitzig,2,ab@rvI=Ix,4,9,4,-6.872628070088691,6.872628070088691
149,abessen,2,&pEs@n,3,6,3,-5.152036309180023,5.152036309180023
150,abessinisch,2,&bEsinIS,4,8,4,-6.16526332695586,6.16526332695586
151,abfackeln,2,&pf&k@ln,3,8,3,-5.867201905878685,5.867201905878685
152,abfaedeln,2,&pf)d@ln,3,8,3,-5.483241019350119,5.483241019350119
153,abfahren,2,&pfar@n,3,7,3,-4.9766964922228265,4.9766964922228265
154,Abfahrt,1,&pfart,2,6,2,-4.7401452008425995,4.7401452008425995
155,Abfahrtszeit,3,&pfar==Wt,3,9,3,-6.7308966380839665,6.7308966380839665
156,abfallen,2,&pf&l@n,3,7,3,-5.070039855952581,5.070039855952581
157,Abfall,1,&pf&l,2,5,2,-4.331115592185783,4.331115592185783
158,Abfalleimer,2,&pf&lWm@r,4,9,4,-6.073262358376321,6.073262358376321
159,abfaellig,2,&pfElIx,3,7,3,-5.255635712207891,5.255635712207891
160,Abfallprodukt,2,&pf&lprodUkt,4,12,4,-7.154372389950362,7.154372389950362
161,abfaelschen,2,&pfElS@n,3,8,3,-5.722401194652623,5.722401194652623
162,abfangen,2,&pf&N@n,3,7,3,-5.320468338347628,5.320468338347628
163,abfaerben,2,&pfErb@n,3,8,3,-6.842321603666127,6.842321603666127
164,abfasen,2,&pfaz@n,3,7,3,-6.177697860357871,6.177697860357871
165,abfassen,2,&pf&s@n,3,7,3,-5.14829751545495,5.14829751545495
166,Abfassung,2,&pf&sUN,3,7,3,-5.161211374723344,5.161211374723344
167,abfaulen,2,&pfBl@n,3,7,3,-5.553894812530453,5.553894812530453
168,abfedern,2,&pfed@rn,3,8,3,-6.15521612620132,6.15521612620132
169,abfeilen,2,&pfWl@n,3,7,3,-5.403586476854895,5.403586476854895
170,abfertigen,2,&pfErtIg@n,4,10,4,-5.805685742260952,5.805685742260952
171,Abfertigung,2,&pfErtIgUN,4,10,4,-5.645313608670986,5.645313608670986
172,abfeuern,2,&pfX@rn,3,7,3,-6.149682544662091,6.149682544662091
173,abfieren,2,&pfir@n,3,7,3,-5.199660485626873,5.199660485626873
174,abfinden,2,&pfInd@n,3,8,3,-5.241745055079207,5.241745055079207
175,Abfindung,2,&pfIndUN,3,8,3,-5.520329032829879,5.520329032829879
176,Abfindungssumme,3,&pfIndUNszUm@,5,13,5,-8.683052529025248,8.683052529025248
177,abflachen,2,&pfl&x@n,3,8,3,-5.7177208519227465,5.7177208519227465
178,abflauen,1,&pflB@n,3,7,3,-5.421274205631224,5.421274205631224
179,abfliegen,2,&pflig@n,3,8,3,-5.1797685133432045,5.1797685133432045
180,abfliessen,2,&pflis@n,3,8,3,-5.018845709606702,5.018845709606702
181,Abflug,1,&pfluk,2,6,2,-5.497524256336458,5.497524256336458
182,Abfluss,1,&pflUs,2,6,2,-4.990774543960951,4.990774543960951
183,Abflusshahn,2,&pflUshan,3,9,3,-6.68157709986118,6.68157709986118
184,Abfolge,2,&pfOlg@,3,7,3,-5.512165092054443,5.512165092054443
185,abfotografieren,2,&pfotogr&fir@n,6,14,6,-7.257171680670536,7.257171680670536
186,abfragen,2,&pfrag@n,3,8,3,-5.316042947057087,5.316042947057087
187,abfressen,2,&pfrEs@n,3,8,3,-5.534256214496391,5.534256214496391
188,abfretten,2,&pfrEt@n,3,8,3,-5.630769725420371,5.630769725420371
189,abfrieren,2,&pfrir@n,3,8,3,-5.046427518411694,5.046427518411694
190,abfrottieren,2,&pfrOtir@n,4,10,4,-5.851132189176348,5.851132189176348
191,abfuehlen,2,&pfyl@n,3,7,3,-5.0851610989747735,5.0851610989747735
192,abfuehren,2,&pfyr@n,3,7,3,-5.334567552785951,5.334567552785951
193,Abfuhr,1,&pfur,2,5,2,-4.934576558823761,4.934576558823761
194,Abfuehrmittel,2,&pfyrmIt@l,4,10,4,-6.315962888497889,6.315962888497889
195,Abfuehrung,2,&pfyrUN,3,7,3,-4.742543270358012,4.742543270358012
196,abfuellen,2,&pfYl@n,3,7,3,-5.168092920979026,5.168092920979026
197,abfuettern,2,&pfYt@rn,3,8,3,-5.163273290230193,5.163273290230193
198,Abfuetterung,2,&pfYt@rUN,4,9,4,-5.337426940217627,5.337426940217627
199,Abgabe,1,&pgab@,3,6,3,-4.302901204531955,4.302901204531955
200,abgabenfrei,3,&pgab@nfrW,4,10,4,-7.924750202765374,7.924750202765374
201,abgabenpflichtig,4,&pgab@n+lIxtIx,5,14,5,-8.979639816776912,8.979639816776912
202,Abgabesoll,2,&pgab@zOl,4,9,4,-7.712210429466629,7.712210429466629
203,Abgang,1,&pg&N,2,5,2,-4.932310997252805,4.932310997252805
204,Abgaenger,2,&pgEN@r,3,7,3,-4.827762995580273,4.827762995580273
205,abgaengig,2,&pgENIx,3,7,3,-5.055501436001687,5.055501436001687
206,Abgangszeugnis,3,&pg&Ns=XknIs,4,12,4,-6.903170430837981,6.903170430837981
207,Abgas,2,&pgas,2,5,2,-4.815371152751097,4.815371152751097
208,abgasfrei,2,&pgasfrW,3,8,3,-5.973634698713884,5.973634698713884
209,abgeben,2,&pgeb@n,3,7,3,-5.743008068782467,5.743008068782467
210,abgeblasst,1,&pg@bl&st,3,9,3,-7.41840509618694,7.41840509618694
211,abgebrannt,1,&pg@br&nt,3,9,3,-6.0078049453536915,6.0078049453536915
212,abgebrueht,1,&pg@bryt,3,8,3,-7.0319363492722005,7.0319363492722005
213,abgedroschen,1,&pg@drOS@n,4,10,4,-7.039554568619557,7.039554568619557
214,abgefeimt,1,&pg@fWmt,3,8,3,-5.193462318520694,5.193462318520694
215,Abgefeimtheit,2,&pg@fWmthWt,4,11,4,-5.684827710097474,5.684827710097474
216,abgegriffen,1,&pg@grIf@n,4,10,4,-6.351487463830194,6.351487463830194
217,abgehen,2,&pge@n,3,6,3,-4.732403665355942,4.732403665355942
218,abgehackt,1,&pg@h&kt,3,8,3,-5.810819131363565,5.810819131363565
219,abgekaempft,1,&pg@kEm+t,3,9,3,-5.95545790049126,5.95545790049126
220,abgekartet,1,&pg@k&rt@t,4,10,4,-6.649873991125866,6.649873991125866
221,abgeklaert,1,&pg@klErt,3,9,3,-5.63565642624694,5.63565642624694
222,Abgeklaertheit,2,&pg@klErthWt,4,12,4,-6.46012477794355,6.46012477794355
223,Abgeld,2,&pgElt,2,6,2,-4.553540558247513,4.553540558247513
224,abgelebt,1,&pg@lept,3,8,3,-6.051357255365334,6.051357255365334
225,abgeledert,1,&pg@led@rt,4,10,4,-7.966026999385526,7.966026999385526
226,abgelegen,1,&pg@leg@n,4,9,4,-5.341073002073363,5.341073002073363
227,abgeleiert,1,&pg@lW@rt,4,9,4,-7.371582932877975,7.371582932877975
228,abgelten,2,&pgElt@n,3,8,3,-6.238979888112479,6.238979888112479
229,Abgeltung,2,&pgEltUN,3,8,3,-6.05251572593503,6.05251572593503
230,abgemacht,1,&pg@m&xt,3,8,3,-5.724657835898214,5.724657835898214
231,abgemessen,1,&pg@mEs@n,4,9,4,-5.960086504883912,5.960086504883912
232,abgeneigt,1,&pg@nWkt,3,8,3,-5.805825064515768,5.805825064515768
233,abgenutzt,1,&pg@nU=t,3,8,3,-6.090210959425991,6.090210959425991
234,abgeordnet,1,&pg@Ordn@t,4,10,4,-5.888059506102696,5.888059506102696
235,Abgeordnete,1,&pg@Ordn@t@,5,11,5,-6.281143561095568,6.281143561095568
236,Abgeordnetenhaus,3,&pg@Ordn@t@nhBs,6,15,6,-8.221642826088049,8.221642826088049
237,abgerissen,1,&pg@rIs@n,4,9,4,-7.040716077091345,7.040716077091345
238,abgerundet,1,&pg@rUnd@t,4,10,4,-8.866840896966893,8.866840896966893
239,abgesagt,1,&pg@zakt,3,8,3,-5.1987930014015165,5.1987930014015165
240,Abgesandte,2,&pg@z&nt@,4,9,4,-6.867845222512714,6.867845222512714
241,Abgesang,2,&pg@z&N,3,7,3,-4.81340018719745,4.81340018719745
242,abgeschabt,1,&pg@Sapt,3,8,3,-5.556761957386672,5.556761957386672
243,abgeschieden,1,&pg@Sid@n,4,9,4,-4.941466205005619,4.941466205005619
244,Abgeschiedenheit,2,&pg@Sid@nhWt,5,12,5,-5.659471506713524,5.659471506713524
245,abgeschlagen,1,&pg@Slag@n,4,10,4,-6.384513712376708,6.384513712376708
246,abgeschlossen,1,&pg@SlOs@n,4,10,4,-5.8439633333553545,5.8439633333553545
247,abgeschmackt,1,&pg@Sm&kt,3,9,3,-6.376352351026122,6.376352351026122
248,Abgeschmacktheit,2,&pg@Sm&kthWt,4,12,4,-6.453534792290518,6.453534792290518
249,abgesehen,1,&pg@ze@n,4,8,4,-5.060962074674514,5.060962074674514
250,abgesondert,1,&pg@zOnd@rt,4,11,4,-6.8034159280198185,6.8034159280198185
251,abgespannt,1,&pg@Sp&nt,3,9,3,-6.82070254185298,6.82070254185298
252,abgespielt,1,&pg@Spilt,3,9,3,-7.4199775246665025,7.4199775246665025
253,abgestanden,1,&pg@St&nd@n,4,11,4,-7.237655153415633,7.237655153415633
254,abgestorben,1,&pg@StOrb@n,4,11,4,-7.1671992207091035,7.1671992207091035
255,abgestossen,1,&pg@Stos@n,4,10,4,-6.741491703372853,6.741491703372853
256,abgestuft,1,&pg@Stuft,3,9,3,-7.847711019311896,7.847711019311896
257,abgestumpft,1,&pg@StUm+t,3,10,3,-7.536765402646099,7.536765402646099
258,Abgestumpftheit,2,&pg@StUm+thWt,4,13,4,-7.863050025578635,7.863050025578635
259,abgetakelt,1,&pg@tak@lt,4,10,4,-7.480667310548786,7.480667310548786
260,abgetan,1,&pg@tan,3,7,3,-4.6672806656073265,4.6672806656073265
261,abgetragen,1,&pg@trag@n,4,10,4,-7.089908599363225,7.089908599363225
262,abgewinnen,2,&pg@vIn@n,4,9,4,-6.148907488972799,6.148907488972799
263,abgewogen,1,&pg@vog@n,4,9,4,-5.219191833266557,5.219191833266557
264,Abgewogenheit,2,&pg@vog@nhWt,5,12,5,-6.124146664477701,6.124146664477701
265,abgewoehnen,2,&pg@v|n@n,4,9,4,-5.377741944222822,5.377741944222822
266,abgezogen,1,&pg@=og@n,4,9,4,-5.108484919208158,5.108484919208158
267,abgiessen,2,&pgis@n,3,7,3,-5.311869316662885,5.311869316662885
268,Abglanz,2,&pgl&n=,2,7,2,-5.766332367989188,5.766332367989188
269,abgleichen,2,&pglWx@n,3,8,3,-5.572245827772687,5.572245827772687
270,abgleiten,2,&pglWt@n,3,8,3,-5.746002011895145,5.746002011895145
271,abglitschen,2,&pglItS@n,3,9,3,-5.8814668288667455,5.8814668288667455
272,Abgott,2,&pgOt,2,5,2,-4.932310997252805,4.932310997252805
273,Abgoetterei,2,&pg/t@rW,4,8,4,-5.693365358244905,5.693365358244905
274,abgoettisch,2,&pg/tIS,3,7,3,-5.42643298972923,5.42643298972923
275,Abgottschlange,2,&pgOtSl&N@,4,10,4,-6.543534316744703,6.543534316744703
276,abgraben,2,&pgrab@n,3,8,3,-5.622659799321857,5.622659799321857
277,abgrasen,2,&pgraz@n,3,8,3,-5.5093809424484,5.5093809424484
278,abgraetschen,2,&pgr)tS@n,3,9,3,-5.780998502320977,5.780998502320977
279,abgreifen,2,&pgrWf@n,3,8,3,-5.401565052887391,5.401565052887391
280,abgrenzen,2,&pgrEn=@n,3,9,3,-5.556468505884352,5.556468505884352
281,Abgrenzung,2,&pgrEn=UN,3,9,3,-6.085342159749237,6.085342159749237
282,Abgrund,2,&pgrUnt,2,7,2,-5.420798612172473,5.420798612172473
283,abgruendig,2,&pgrYndIx,3,9,3,-6.215487190468862,6.215487190468862
284,abgrundtief,2,&pgrUnttif,3,10,3,-7.528918490877913,7.528918490877913
285,abgucken,2,&pgUk@n,3,7,3,-5.090076753256651,5.090076753256651
286,Abguss,1,&pgUs,2,5,2,-5.022399404113537,5.022399404113537
287,abhaben,2,&phab@n,3,7,3,-5.4639799831376425,5.4639799831376425
288,abhacken,2,&ph&k@n,3,7,3,-5.1926641880023094,5.1926641880023094
289,abhaken,2,&phak@n,3,7,3,-5.112464031507354,5.112464031507354
290,abhaekeln,2,&ph)k@ln,3,8,3,-5.39334245235357,5.39334245235357
291,abhalftern,2,&ph&lft@rn,3,10,3,-6.505468175309934,6.505468175309934
292,abhalten,2,&ph<@n,3,6,2,-4.830918155264128,4.830918155264128
293,Abhaltung,2,&ph<UN,3,6,2,-5.3448324897138555,5.3448324897138555
294,abhandeln,2,&ph&nd@ln,3,9,3,-5.724519391000835,5.724519391000835
295,abhanden,3,&ph&nd@n,3,8,3,-5.753753024758962,5.753753024758962
296,Abhandlung,2,&ph&ndlUN,3,9,3,-4.904233493797598,4.904233493797598
297,abhaengen,2,&phEN@n,3,7,3,-5.3044063282003595,5.3044063282003595
298,Abhang,2,&ph&N,2,5,2,-4.953998394554283,4.953998394554283
299,abhaengig,2,&phENIx,3,7,3,-4.105721872321516,4.105721872321516
300,Abhaengigkeit,2,&phENIxkWt,4,10,4,-4.812322131747651,4.812322131747651
301,Abhaengigkeitsverhaeltnis,3,&phENIxkW=fErhEltnIs,7,20,7,-9.849592221358394,9.849592221358394
302,abhaermen,2,&phErm@n,3,8,3,-6.360737107831394,6.360737107831394
303,abhaerten,2,&phErt@n,3,8,3,-5.808815388017331,5.808815388017331
304,Abhaertung,2,&phErtUN,3,8,3,-5.638416129017424,5.638416129017424
305,abhauen,2,&phB@n,3,6,3,-5.131674481703101,5.131674481703101
306,abheben,2,&pheb@n,3,7,3,-5.282153102915604,5.282153102915604
307,abhebern,2,&pheb@rn,3,8,3,-6.566431309458175,6.566431309458175
308,abheften,2,&phEft@n,3,8,3,-5.7624630520059235,5.7624630520059235
309,abhelfen,2,&phElf@n,3,8,3,-5.703839897806275,5.703839897806275
310,abhetzen,2,&phE=@n,3,7,3,-5.542406839218552,5.542406839218552
311,abheuern,2,&phX@rn,3,7,3,-5.582609387467044,5.582609387467044
312,Abhilfe,1,&phIlf@,3,7,3,-5.429717782060068,5.429717782060068
313,Abhitze,2,&phI=@,3,6,3,-5.392488513203644,5.392488513203644
314,abholen,2,&phol@n,3,7,3,-4.854992844963238,4.854992844963238
315,abhold,2,&phOlt,2,6,2,-5.1009862622044375,5.1009862622044375
316,Abholer,2,&phol@r,3,7,3,-6.134199787645136,6.134199787645136
317,abholzen,2,&phOl=@n,3,8,3,-5.765524601391381,5.765524601391381
318,Abholzung,2,&phOl=UN,3,8,3,-5.945281001790268,5.945281001790268
319,abhoeren,2,&ph|r@n,3,7,3,-5.292670812449547,5.292670812449547
320,abhorchen,2,&phOrx@n,3,8,3,-5.589302023914017,5.589302023914017
321,Abiogenese,0,&biogenez@,6,10,6,-6.5499130084554835,6.5499130084554835
322,abirren,2,&pIr@n,3,6,3,-5.653065012350985,5.653065012350985
323,Abitur,0,&bitur,3,6,3,-4.9262485552184625,4.9262485552184625
324,Abiturient,2,&bituriEnt,5,10,5,-6.970898199140891,6.970898199140891
325,Abiturientin,2,&bituriEntIn,6,12,6,-7.922746047621161,7.922746047621161
326,Abjudikation,2,&pjudik&=ion,6,12,6,-6.1458242777319105,6.1458242777319105
327,abjudizieren,2,&pjudi=ir@n,5,11,5,-5.987872484147568,5.987872484147568
328,abkaemmen,2,&pkEm@n,3,7,3,-5.287712467647646,5.287712467647646
329,abkaempfen,2,&pkEm+@n,3,8,3,-5.493567935265554,5.493567935265554
