,Word,CompCnt,PhonDISC,SylCnt,num_phones,num_sylls_est,remove,num_homophones,log_prob,surprisal
0,A,1,a,1,1,1,False,1,-4.700214313558351,4.700214313558351
2,aalen,1,al@n,2,4,2,False,0,-4.9990712212473785,4.9990712212473785
3,Aal,1,al,1,2,1,False,0,-4.736451266931293,4.736451266931293
4,aalglatt,2,algl&t,2,6,2,False,0,-6.062671663337429,6.062671663337429
5,Aar,1,ar,1,2,1,False,1,-4.711577588167204,4.711577588167204
6,Aas,1,as,1,2,1,False,0,-4.815319547457607,4.815319547457607
7,Aasgeier,2,asgW@r,3,6,3,False,0,-5.546005703636829,5.546005703636829
8,ab,1,&p,1,2,1,False,1,-4.6987651106598225,4.6987651106598225
9,ab,1,&p,1,2,1,False,1,-4.6987651106598225,4.6987651106598225
10,Abakus,0,ab&kUs,3,6,3,False,0,-6.9599377887799285,6.9599377887799285
11,abaendern,2,&pEnd@rn,3,8,3,False,0,-5.768821449976199,5.768821449976199
12,abaenderlich,2,&pEnd@rlIx,4,10,4,False,0,-6.516715659676811,6.516715659676811
13,Abaenderung,2,&pEnd@rUN,4,9,4,False,0,-5.8929421497872205,5.8929421497872205
14,Abandon,0,&bqd~,3,5,3,False,0,-5.144361346857993,5.144361346857993
15,abandonnieren,2,&bqdOnir@n,5,10,5,False,0,-5.692015998581329,5.692015998581329
16,abarbeiten,2,&p&rbWt@n,4,9,4,False,0,-6.651452829295902,6.651452829295902
17,abarten,2,&part@n,3,7,3,False,0,-5.406504368091107,5.406504368091107
18,Abart,1,&part,2,5,2,False,0,-4.891317319077365,4.891317319077365
19,abartig,2,&partIx,3,7,3,False,0,-4.691130530322275,4.691130530322275
20,Abartung,2,&partUN,3,7,3,False,0,-5.365407202570536,5.365407202570536
21,Abasie,0,&b&zi,3,5,3,False,0,-5.864759461605887,5.864759461605887
22,abaesten,2,&pEst@n,3,7,3,False,0,-6.400891841779408,6.400891841779408
23,abbauen,2,&pbB@n,3,6,3,False,0,-4.99367305970209,4.99367305970209
24,Abbau,1,&pbB,2,4,2,False,0,-4.746864846785372,4.746864846785372
25,Abbaufeld,2,&pbBfElt,3,8,3,False,0,-5.689706317094288,5.689706317094288
26,Abbaugerechtigkeit,2,&pbBg@rExtIxkWt,6,15,6,False,0,-7.7556741816595505,7.7556741816595505
27,Abbaurecht,2,&pbBrExt,3,8,3,False,0,-5.513657971780068,5.513657971780068
28,abbauwuerdig,2,&pbBvYrdIx,4,10,4,False,0,-5.562769432866597,5.562769432866597
29,abbeissen,2,&pbWs@n,3,7,3,False,0,-5.071662480202104,5.071662480202104
30,abbeizen,2,&pbW=@n,3,7,3,False,0,-5.404653679622779,5.404653679622779
31,abbekommen,2,&pb@kOm@n,4,9,4,False,0,-5.100845104259608,5.100845104259608
32,abberufen,2,&pb@ruf@n,4,9,4,False,0,-5.77627646261142,5.77627646261142
33,Abberufung,2,&pb@rufUN,4,9,4,False,0,-5.771869576021384,5.771869576021384
34,abbestellen,2,&pb@StEl@n,4,10,4,False,0,-6.259080452050736,6.259080452050736
35,Abbestellung,2,&pb@StElUN,4,10,4,False,0,-6.052974031629555,6.052974031629555
36,abbezahlen,2,&pb@=al@n,4,9,4,False,0,-5.489936945112799,5.489936945112799
37,abbiegen,2,&pbig@n,3,7,3,False,0,-5.366219341520813,5.366219341520813
38,abbilden,2,&pbIld@n,3,8,3,False,0,-5.613052820546614,5.613052820546614
39,Abbild,1,&pbIlt,2,6,2,False,0,-4.959455385737427,4.959455385737427
40,Abbildung,2,&pbIldUN,3,8,3,False,0,-4.912630214313119,4.912630214313119
41,abbimsen,2,&pbImz@n,3,8,3,False,0,-5.1488496853068035,5.1488496853068035
42,abbinden,2,&pbInd@n,3,8,3,False,0,-5.661776175073672,5.661776175073672
43,abbitten,2,&pbIt@n,3,7,3,False,0,-5.230693977591958,5.230693977591958
44,Abbitte,2,&pbIt@,3,6,3,False,0,-5.469027229567644,5.469027229567644
45,abblasen,2,&pblaz@n,3,8,3,False,0,-5.647323596829629,5.647323596829629
46,abblassen,2,&pbl&s@n,3,8,3,False,0,-5.940269311915903,5.940269311915903
47,abblaettern,2,&pblEt@rn,3,9,3,False,0,-6.027450986796645,6.027450986796645
48,abblenden,2,&pblEnd@n,3,9,3,False,0,-5.645664039368022,5.645664039368022
